date,traded_companies,no_of_transaction,max_price,min_price,closing_price,traded_shares,amount,previous_closing,difference_rs
4/15/2010,Arun Valley Hydropower Development Co. Ltd.,2.0,430.0,430.0,430.0,30.0,12900.0,438.0,-8.0
4/19/2010,Arun Valley Hydropower Development Co. Ltd.,4.0,425.0,417.0,417.0,310.0,129590.0,425.0,-8.0
4/20/2010,Arun Valley Hydropower Development Co. Ltd.,16.0,410.0,391.0,396.0,390.0,155760.0,417.0,-21.0
4/21/2010,Arun Valley Hydropower Development Co. Ltd.,24.0,403.0,374.0,380.0,620.0,238920.0,396.0,-16.0
4/22/2010,Arun Valley Hydropower Development Co. Ltd.,4.0,390.0,375.0,390.0,240.0,92410.0,380.0,10.0
4/25/2010,Arun Valley Hydropower Development Co. Ltd.,8.0,390.0,380.0,385.0,570.0,219100.0,390.0,-5.0
4/26/2010,Arun Valley Hydropower Development Co. Ltd.,5.0,386.0,385.0,386.0,80.0,30840.0,385.0,1.0
4/28/2010,Arun Valley Hydropower Development Co. Ltd.,4.0,394.0,387.0,394.0,90.0,35130.0,386.0,8.0
4/29/2010,Arun Valley Hydropower Development Co. Ltd.,6.0,413.0,400.0,413.0,280.0,113690.0,394.0,19.0
5/9/2010,Arun Valley Hydropower Development Co. Ltd.,1.0,421.0,421.0,421.0,40.0,16840.0,413.0,8.0
5/10/2010,Arun Valley Hydropower Development Co. Ltd.,14.0,428.0,425.0,428.0,360.0,153570.0,421.0,7.0
5/11/2010,Arun Valley Hydropower Development Co. Ltd.,21.0,465.0,430.0,465.0,580.0,260760.0,428.0,37.0
5/12/2010,Arun Valley Hydropower Development Co. Ltd.,46.0,506.0,470.0,485.0,2130.0,1037930.0,465.0,20.0
5/13/2010,Arun Valley Hydropower Development Co. Ltd.,32.0,503.0,490.0,494.0,1280.0,632550.0,485.0,9.0
5/16/2010,Arun Valley Hydropower Development Co. Ltd.,24.0,500.0,454.0,472.0,690.0,333870.0,494.0,-22.0
5/17/2010,Arun Valley Hydropower Development Co. Ltd.,20.0,465.0,460.0,465.0,630.0,291550.0,472.0,-7.0
5/18/2010,Arun Valley Hydropower Development Co. Ltd.,25.0,488.0,465.0,479.0,510.0,241290.0,465.0,14.0
5/19/2010,Arun Valley Hydropower Development Co. Ltd.,20.0,475.0,469.0,475.0,380.0,179540.0,479.0,-4.0
5/20/2010,Arun Valley Hydropower Development Co. Ltd.,23.0,492.0,480.0,490.0,590.0,287070.0,475.0,15.0
5/23/2010,Arun Valley Hydropower Development Co. Ltd.,29.0,499.0,490.0,492.0,1160.0,575080.0,490.0,2.0
5/24/2010,Arun Valley Hydropower Development Co. Ltd.,12.0,501.0,486.0,486.0,340.0,167790.0,492.0,-6.0
5/25/2010,Arun Valley Hydropower Development Co. Ltd.,31.0,530.0,495.0,510.0,1840.0,953680.0,486.0,24.0
5/26/2010,Arun Valley Hydropower Development Co. Ltd.,39.0,530.0,495.0,495.0,1596.0,829510.0,510.0,-15.0
5/30/2010,Arun Valley Hydropower Development Co. Ltd.,3.0,514.0,504.0,510.0,320.0,163160.0,495.0,15.0
5/31/2010,Arun Valley Hydropower Development Co. Ltd.,30.0,520.0,500.0,510.0,888.0,453280.0,510.0,0.0
6/1/2010,Arun Valley Hydropower Development Co. Ltd.,53.0,500.0,477.0,482.0,1290.0,623790.0,510.0,-28.0
6/2/2010,Arun Valley Hydropower Development Co. Ltd.,25.0,485.0,476.0,481.0,630.0,301330.0,482.0,-1.0
6/6/2010,Arun Valley Hydropower Development Co. Ltd.,24.0,485.0,475.0,485.0,420.0,201220.0,481.0,4.0
6/7/2010,Arun Valley Hydropower Development Co. Ltd.,7.0,485.0,480.0,480.0,240.0,115700.0,485.0,-5.0
