stock_name,stock_symbol,sector,link,url_id,address,change_rs_and_percent,closing_market_price_rs,email_address,last_traded_price_rs,market_capitalization_rs,name_and_symbol,paid_up_value_rs,total_listed_shares,total_paid_up_value_rs,website
Nepal Doorsanchar Comapany Limited,NTC,Others,http://www.nepalstock.com/company/display/307,307,ktm,-23(-2.66),842,info@ntc.net.np,842,"126,300,000,000.00",Nepal Doorsanchar Comapany Limited(NTC),100,"150,000,000.00","15,000,000,000.00",http://www.ntc.net.np
Nabil Bank Limited,NABIL,Commercial Banks,http://www.nepalstock.com/company/display/131,131,Durbar Marg,-22(-1.75),1235,madhab.regmi@nabilbank.com,1235,"99,276,740,875.00",Nabil Bank Limited(NABIL),100,"80,386,025.00","8,038,602,500.00",
Standard Chartered Bank Limited,SCB,Commercial Banks,http://www.nepalstock.com/company/display/133,133,Kathmandu,-6(-0.28),2125,scbl@scbl.com,2125,"85,121,450,125.00",Standard Chartered Bank Limited(SCB),100,"40,057,153.00","4,005,715,300.00",
Everest Bank Limited,EBL,Commercial Banks,http://www.nepalstock.com/company/display/137,137,Kathmandu,-17(-1.37),1221,ebl@eb.com,1221,"73,690,230,339.00",Everest Bank Limited(EBL),100,"60,352,359.00","6,035,235,900.00",
Nepal Investment Bank Limited,NIB,Commercial Banks,http://www.nepalstock.com/company/display/132,132,Durbar Marga,-3(-0.46),644,info@nibl.com.np,644,"68,434,245,908.00",Nepal Investment Bank Limited(NIB),100,"106,264,357.00","10,626,435,700.00",http://www.nibl.com.np
Nepal Life Insurance Co. Ltd.,NLIC,Insurance,http://www.nepalstock.com/company/display/187,187,Kamaladi,-18(-0.90),1972,info@nepallife.com.np,1972,"61,061,571,992.00",Nepal Life Insurance Co. Ltd.(NLIC),100,"30,964,286.00","3,096,428,600.00",
Nepal SBI Bank Limited,SBI,Commercial Banks,http://www.nepalstock.com/company/display/135,135,HATTISAR,-5(-0.61),810,law@nsbl.com.np,810,"56,471,566,230.00",Nepal SBI Bank Limited(SBI),100,"69,717,983.00","6,971,798,300.00",
Himalayan Bank Limited,HBL,Commercial Banks,http://www.nepalstock.com/company/display/134,134,Kathmandu,-4(-0.46),867,hbl@hbl.com,867,"56,280,140,619.00",Himalayan Bank Limited(HBL),100,"64,913,657.00","6,491,365,700.00",
Rastriya Beema Company Limited,RBCL,Insurance,http://www.nepalstock.com/company/display/177,177,Ramsaha Path,100(0.61),16600,rbsnlac@wlink.com.np,16600,"44,261,659,000.00",Rastriya Beema Company Limited(RBCL),100,"2,666,365.00","266,636,500.00",
Agriculture Development Bank Limited,ADBL,Commercial Banks,http://www.nepalstock.com/company/display/397,397,Kathmandu,1(0.22),449,info@adbl.com.np,449,"31,823,683,200.00",Agriculture Development Bank Limited(ADBL),100,"70,876,800.00","7,087,680,000.00",
NMB Bank Limited,NMB,Commercial Banks,http://www.nepalstock.com/company/display/238,238,Babarmahal,-2(-0.41),485,pramod.dahal@nmb.com.np,485,"31,339,605,840.00",NMB Bank Limited(NMB),100,"64,617,744.00","6,461,774,400.00",http://www.nmb.com.np
Global IME Bank Limited,GBIME,Commercial Banks,http://www.nepalstock.com/company/display/341,341,"Kathmandu, KMPC ward No -3",-44(-11.31),345,info@gibl.com.np,345,"30,664,896,165.00",Global IME Bank Limited(GBIME),100,"88,883,757.00","8,888,375,700.00",http://www.globalimebank.com
National Life Insurance Co. Ltd.,NLICL,Insurance,http://www.nepalstock.com/company/display/178,178,LAZIMPAT,-15(-0.82),1825,hr@nationallife.com.np,1825,"30,371,135,350.00",National Life Insurance Co. Ltd.(NLICL),100,"16,641,718.00","1,664,171,800.00",
Chilime Hydropower Company Limited,CHCL,Hydro Power,http://www.nepalstock.com/company/display/154,154,Kathmandu,-11(-1.44),755,chcl@chcl.com,755,"29,936,603,905.00",Chilime Hydropower Company Limited(CHCL),100,"39,651,131.00","3,965,113,100.00",
NIC Asia Bank Ltd.,NICA,Commercial Banks,http://www.nepalstock.com/company/display/139,139,Kamaladi,1(0.28),363,info@nicasiabank.com,363,"29,152,953,984.00",NIC Asia Bank Ltd.(NICA),100,"80,311,168.00","8,031,116,800.00",
Sanima Bank Limited,SANIMA,Commercial Banks,http://www.nepalstock.com/company/display/171,171,NAXAL,-2(-0.56),357,RUDRA@sanimabank.com,357,"28,564,481,778.00",Sanima Bank Limited(SANIMA),100,"80,012,554.00","8,001,255,400.00",
