@relation main-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute close numeric
@attribute HL_PCT numeric
@attribute PCT_change numeric
@attribute volume numeric
@attribute label numeric

@data
0.7,0.32375,0.703638,1,240
0.7,0.185,0.736337,0.028988,236
0.7,0,0.736337,0.009841,240
0.7,0,0.736337,0.035513,225
0.68,0.188136,0.692193,0.272336,226
0.7,0,0.781229,0.016259,222
0.625,0.789333,0.570799,0.13911,230
0.63,0.09823,0.748109,0.256505,230
0.61,0.2,0.689459,0.014922,226
0.65,0.193043,0.831783,0.009199,221
0.65,0.193043,0.736337,0.009199,243
0.63,0.19646,0.690274,0.057655,251
0.605,0.050226,0.677739,0.020671,265
0.715,0.822222,1,0.040674,290
0.755,0.176892,0.823534,0.010322,300
0.825,0.628302,0.884068,0.024549,289
0.95,0.765517,0.986206,0.063324,284
1,0.185,0.827669,0.045006,279
0.945,0.192042,0.639221,0.153657,284
0.92,0,0.690513,0.323573,289
0.895,0.039785,0.689706,0.228827,294
0.92,0,0.783803,0.042573,294
0.945,0.038408,0.782968,0.020136,289
0.97,0,0.782161,0.162107,284
0.97,0.15102,0.736337,0.04407,283
0.945,0,0.691292,0.004733,278
0.92,0,0.690513,0.034978,278
0.915,0,0.727011,0.012141,275
0.89,0,0.689542,0.190293,265
0.89,0,0.736337,0.004439,264
0.875,0,0.707755,0.033775,251
0.825,0.209434,0.640024,0.147827,235
0.82,0,0.726342,0.074662,236
0.755,0.398008,0.605913,0.158417,235
0.675,0.614043,0.567501,0.552935,235
0.68,0.047034,0.747608,0.091376,231
0.675,0.047234,0.725114,0.179971,243
0.675,0.188936,0.736337,0.443642,233
0.655,0,0.691254,0.058778,234
0.715,0.365432,0.873927,0.035245,237
0.665,0.333476,0.62734,0.04768,233
0.67,0.189744,0.747704,0.059901,230
0.685,0.140506,0.770294,0.104372,232
0.665,0,0.691635,0.015697,236
0.65,0,0.702235,0.101564,240
0.66,0.047845,0.759368,0.158417,240
0.68,0.188136,0.782003,0.040968,242
0.7,0,0.781229,0.003423,242
0.7,0,0.736337,0.048349,242
0.71,0,0.758409,0.003476,244
0.71,0,0.736337,0.022891,248
0.71,0,0.736337,0.048777,249
0.72,0.136475,0.758226,0.101163,250
0.74,0.089516,0.779757,0.115497,247
0.745,0.044578,0.747017,0.083648,244
0.75,0.2664,0.746974,0.505094,232
0.735,0,0.704554,0.01682,236
0.72,0,0.704168,0.00353,233
0.66,0.382759,0.606077,0.110817,236
0.68,0.188136,0.782003,0.034443,233
0.665,0,0.702668,0.096697,233
0.68,0,0.770439,0.015938,218
0.665,0.095279,0.702668,0.121594,219
0.665,0,0.736337,0.028159,226
0.59,0.560092,0.565825,0.187672,226
0.595,0.152055,0.748487,0.09175,230
0.63,0.245575,0.820996,0.097954,227
0.63,0,0.736337,0.045354,227
0.65,0,0.783215,0.003156,223
0.635,0.146696,0.70179,0.015376,223
0.635,0,0.736337,0.021286,219
0.615,0,0.689665,0.026822,222
0.615,0,0.736337,0.056639,222
0.595,0,0.688828,0.049713,222
0.61,0.15,0.772619,0.191068,226
0.61,0.1,0.736337,0.068271,226
0.61,0,0.736337,0.002942,230
0.63,0.19646,0.78406,0.026795,234
0.63,0,0.736337,0.003049,234
0.65,0,0.724871,0.027758,234
0.67,0,0.7824,0.00952,238
0.67,0,0.736337,0.003262,242
0.67,0.189744,0.736337,0.072202,243
0.69,0.186555,0.781612,0.073111,252
0.71,0,0.780852,0.003476,262
0.715,0,0.747282,0.010001,265
0.76,0.17619,0.823177,0.090279,263
0.81,0.211832,0.841441,0.094157,265
0.825,0,0.766665,0.074957,260
0.815,0,0.716347,0.011071,260
0.825,0.209434,0.756479,0.081856,255
0.8,0.213462,0.686363,0.11547,252
0.8,0,0.736337,0.052627,252
0.775,0,0.685402,0.017462,251
0.76,0.17619,0.705177,0.105923,251
0.76,0,0.736337,0.003744,247
0.755,0.176892,0.725827,0.058056,243
0.755,0.221116,0.736337,0.030967,236
0.735,0.134818,0.694128,0.036716,232
0.715,0.182716,0.693444,0.108009,229
0.68,0.188136,0.660039,0.041717,225
0.66,0.287069,0.691445,0.058885,229
0.645,0,0.702088,0.003129,223
0.625,0,0.690073,0.057173,219
0.645,0,0.783423,0.003129,220
0.615,0.298655,0.666941,0.063458,224
0.595,0,0.688828,0.008718,220
0.6,0,0.748431,0.020538,209
0.62,0,0.784494,0.026955,210
0.6,0.050455,0.68904,0.085386,206
0.545,0.37177,0.603906,0.077203,209
0.55,0.052857,0.74901,0.047333,202
0.53,0,0.685887,0.002514,206
0.545,0.05311,0.774909,0.047413,205
0.51,0.274752,0.647627,0.142666,199
0.53,0,0.788785,0.030057,205
0.525,0,0.72348,0.024415,203
0.495,0.334673,0.658817,0.162722,207
0.525,0.216585,0.816195,0.099559,213
0.515,0.05468,0.710497,0.0403,219
0.535,0.107246,0.788526,0.024469,218
0.565,0.208451,0.813108,0.105897,215
0.595,0.10137,0.810946,0.020324,212
0.59,0.050917,0.724243,0.008638,224
0.575,0,0.699888,0.014253,224
0.56,0,0.69938,0.524241,225
0.62,0.396429,0.886259,0.185265,226
0.62,0,0.736337,0.128787,230
0.625,0.148,0.748161,0.050515,238
0.63,0.19646,0.748109,0.027009,241
0.65,0.048261,0.783215,0.052253,174
0.69,0.233193,0.828463,0.104987,174
0.705,0.184232,0.769723,0.073914,179
0.37,0,0,0.001658,173
0.37,0,0.736337,0.010964,173
0.395,0.186034,0.812447,0.011526,176
0.365,0.192486,0.647557,0.010964,168
0.365,0.192486,0.736337,0.033587,165
0.38,0,0.782267,0.053483,162
0.34,0,0.615945,0.40583,159
0.325,0,0.68904,0.00583,156
0.31,0,0.68818,0.022998,159
0.295,0,0.687289,0.005509,159
0.28,0,0.686363,0.026207,159
0.295,0,0.787272,0.022516,156
0.295,0,0.736337,0.022516,153
0.295,0,0.736337,0.056532,150
0.28,0,0.686363,0.017863,147
0.265,0,0.685402,0.005188,150
0.25,0,0.684403,0.017061,157
0.235,0.226531,0.683365,0.040888,154
0.25,0.074,0.79039,0.017034,153
0.285,0,0.859939,0.055783,153
0.27,0,0.685726,0.005241,153
0.265,0,0.719138,0.005188,153
0.265,0,0.736337,0.001096,150
0.265,0,0.736337,0.021554,160
0.265,0,0.736337,0.009279,158
0.25,0,0.684403,0.009039,165
0.3,0.208125,0.912911,0.005482,164
0.29,0,0.703229,0.013906,161
0.325,0,0.853681,0.001417,155
0.32,0.135366,0.720285,0.036368,140
0.305,0,0.687887,0.009921,136
0.275,0.214839,0.637631,0.200187,136
