parameter_name,parameter_code,series_name,data
PM10 Inst,PM10_I,PM10 Inst,"{'value': 52.9000015259, 'datetime': '2020-03-24T00:00:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 54, 'datetime': '2020-03-24T00:01:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 50.6000022888, 'datetime': '2020-03-24T00:02:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 63.1000022888, 'datetime': '2020-03-24T00:03:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 77.0999984741, 'datetime': '2020-03-24T00:04:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 66, 'datetime': '2020-03-24T00:05:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 71.5999984741, 'datetime': '2020-03-24T00:06:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 68.5, 'datetime': '2020-03-24T00:07:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 65.5, 'datetime': '2020-03-24T00:08:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 62.9000015259, 'datetime': '2020-03-24T00:09:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'datetime': '2020-03-24T00:10:00+00:00', 'value': 60.5, 'aqi': 51.327212020033386}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 50.7000007629, 'datetime': '2020-03-24T00:11:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 58.7000007629, 'datetime': '2020-03-24T00:12:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 51, 'datetime': '2020-03-24T00:13:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 48.2999992371, 'datetime': '2020-03-24T00:14:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 55.7999992371, 'datetime': '2020-03-24T00:15:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 53.7999992371, 'datetime': '2020-03-24T00:16:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 51.7000007629, 'datetime': '2020-03-24T00:17:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 56.7999992371, 'datetime': '2020-03-24T00:18:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 51, 'datetime': '2020-03-24T00:19:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 53.2000007629, 'datetime': '2020-03-24T00:20:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 53.4000015259, 'datetime': '2020-03-24T00:21:00+00:00'}"
PM10 Inst,PM10_I,PM10 Inst,"{'value': 55.7999992371, 'datetime': '2020-03-24T00:22:00+00:00'}"
